cardid,carddefid,name,description,abilities,cost,power,category,source,use_count,connected_cards,PrimaryColor,SecondaryColor,RingColor,CardSeriesDefId,SeriesStartDates,wasAddedIn,wasChangedIn,stats_winrate,stats_cuberate,share_win,share_loss,share_cube_won,share_cube_lost,share_cube_earned,share_total,stats_win,stats_loss,stats_cube_won,stats_cube_lost,stats_position,stats_winrate_played,stats_cuberate_played,art_base
angela,Angela,Angela,"After you play a card here, +2 Power.","[""Power On Card Play"", ""Increase Power""]",2,0,Asgardians,Pool 1 (Collection Level 18-214),1382,[],#ffb512,#ff620b,#ffb512,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5247234439557511,0.17459682793549247,0.13488327474801462,0.1348010493766491,0.13718855593925214,0.13717978161471492,0.13725901089689854,0.13484418245210453,19685.0,17830.0,59114.0,52564.0,8.0,0.5241737863434665,0.1730247036227565,https://static.marvelsnap.pro/cards/Angela.webp
antman,AntMan,Ant Man,"<b>Ongoing:</b> If you have 3 other cards here, +3 Power.","[""Ongoing"", ""Power On Card Count"", ""Increase Power""]",1,1,Avengers,Recruit Season,960,[],#ffffff,#ff465c,#ffffff,Recruit,"[{""Data"": ""Recruit"", ""StartDate"": -62135596800}]",,,0.507109375,0.0521875,0.04447687764233492,0.04769825129092985,0.046407949946158704,0.05044418230786897,0.01399832355406538,0.046008410912619965,6491.0,6309.0,19997.0,19329.0,58.0,0.5081041029915717,0.07603964064091877,https://static.marvelsnap.pro/cards/AntMan.webp
apocalypse,Apocalypse,Apocalypse,"When you discard this from your hand, put it back with +4 Power.","[""Power On Discard"", ""Increase Power"", ""Discard""]",6,8,X-Men Supervillains,Pool 1 (Collection Level 18-214),383,[],#2f5fff,#5d5c5e,#3060ff,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.557667731629393,0.3145367412140575,0.023920625458233126,0.020934610528544104,0.024339979948757938,0.0222326032945696,0.0412615255658005,0.0225009884619532,3491.0,2769.0,10488.0,8519.0,117.0,0.5586419753086421,0.3580246913580247,https://static.marvelsnap.pro/cards/Apocalypse.webp
armor,Armor,Armor,<b>Ongoing:</b> Cards at this location can't be destroyed.,"[""Ongoing"", ""Destroy""]",2,3,Mutants,Pool 1 (Collection Level 18-214),1473,[],#ff3131,#ff5757,#ff3131,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5413276928083306,0.23427839245037424,0.18237506937735112,0.17050102442749246,0.18307201737774312,0.1758095496586425,0.2413872590108969,0.17672980841810146,26616.0,22552.0,78885.0,67366.0,1.0,0.5432585376840564,0.25037303978152536,https://static.marvelsnap.pro/cards/Armor.webp
arnimzola,ArnimZola,Arnim Zola,<b>On Reveal:</b> Destroy a random friendly card here. Add copies of it to the other locations.,"[""On Reveal"", ""Destroy"", ""Add Card At Location"", ""Duplicate Card"", ""Add Card""]",6,0,HYDRA,Pool 3 (Collection Level 486-?),420,[],#891eff,#aea7ff,#ffb432,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5013606676342526,0.13751814223512338,0.03787146860717687,0.0415592466866764,0.04055038802866585,0.041644048687809264,0.03176865046102263,0.039624743898493936,5527.0,5497.0,17473.0,15957.0,75.0,0.5591922005571031,0.4440575673166202,https://static.marvelsnap.pro/cards/ArnimZola.webp
attuma,Attuma,Attuma,"If you have another card here at the end of your turn, destroy this.","[""Destroy""]",4,10,,Pool 3 (Collection Level 486-?),49,[],#ffd422,#19b8ff,#8ff9ff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4771604938271605,-0.10185185185185183,0.005296660979436896,0.0064036168716781715,0.0053469978834800045,0.0064435142075704105,-0.0034576697401508803,0.005822939506128464,773.0,847.0,2304.0,2469.0,206.0,0.4884696016771489,-0.07756813417190776,https://static.marvelsnap.pro/cards/Attuma.webp
baronmordo,BaronMordo,Baron Mordo,<b>On Reveal:</b> Your opponent draws a card. Set its Cost to 6.,"[""On Reveal"", ""Card Draw"", ""Increase Cost""]",2,3,Masters of Mysticism,Pool 3 (Collection Level 486-?),38,[],#1cff2b,#ffdc34,#1dff2c,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4573055028462998,-0.2182163187855788,0.001651352258789511,0.002162260242384837,0.0016082767071404704,0.002108691567321544,-0.0024098910310142497,0.001894252543043025,241.0,286.0,693.0,808.0,231.0,0.4323671497584541,-0.3840579710144928,https://static.marvelsnap.pro/cards/BaronMordo.webp
bast,Bast,Bast,<b>On Reveal:</b> Set the Power of all cards in your hand to 3.,"[""On Reveal""]",1,1,,Pool 3 (Collection Level 486-?),255,[],#ffa222,#ff1912,#18ff09,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4925209777453484,0.09722728931047064,0.018500626965691616,0.021032895085016143,0.01948730088002673,0.020523206046307703,0.01116932103939648,0.01970453973617052,2700.0,2782.0,8397.0,7864.0,130.0,0.5033615267837779,0.13424419865538928,https://static.marvelsnap.pro/cards/Bast.webp
beast,Beast,Beast,<b>On Reveal:</b> Return your other cards at this location to your hand. They cost 1 less.,"[""On Reveal"", ""Return To Hand"", ""Decrease Cost""]",3,4,Original X-Men,Pool 3 (Collection Level 486-?),151,[],#0a5cff,#1016ff,#0a5cff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4850400337126001,-0.11420143278550357,0.007886748754633724,0.009238748308371576,0.007598121124354833,0.009251623274944151,-0.005678960603520537,0.008529528054347436,1151.0,1222.0,3274.0,3545.0,186.0,0.494299674267101,-0.08550488599348534,https://static.marvelsnap.pro/cards/Beast.webp
bishop,Bishop,Bishop,"After you play a card, this gains +1 Power.","[""Power On Card Play"", ""Increase Power""]",3,1,From The Future,Pool 1 (Collection Level 18-214),585,[],#ffce0b,#ff0d0c,#1e40ff,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5170851425335096,0.1917122899754578,0.03753571648816988,0.0386787531469959,0.04078710408079908,0.04056621500302733,0.04256077116512993,0.038079148844398114,5478.0,5116.0,17575.0,15544.0,77.0,0.5250317955833045,0.23794658342004854,https://static.marvelsnap.pro/cards/Bishop.webp
blackbolt,BlackBolt,Black Bolt,<b>On Reveal:</b> Discard the lowest-cost card from your opponent's hand.,"[""On Reveal"", ""Discard""]",5,7,Inhumans,Pool 3 (Collection Level 486-?),65,[],#0342ff,#f0f1ff,#1851ff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4888361045130642,0.003800475059382423,0.007050794499146916,0.008134937135685609,0.007157179458616464,0.008027642649852808,0.0001676445934618609,0.0075662269508644546,1029.0,1076.0,3084.0,3076.0,194.0,0.5168539325842697,0.09420916162489196,https://static.marvelsnap.pro/cards/BlackBolt.webp
blackcat,BlackCat,Black Cat,"If you end the turn with this in your hand, discard it.","[""Discard""]",4,9,,Pool 3 (Collection Level 486-?),125,[],#000082,#ffffff,#ffffff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,Sept 15th OTA,0.492963103841765,-0.006466337010270064,0.008880300943531975,0.010077947213632824,0.008572834280197542,0.009684844562289914,-0.0003562447611064543,0.009449696272599834,1296.0,1333.0,3694.0,3711.0,182.0,0.5595126522961574,0.38144329896907214,https://static.marvelsnap.pro/cards/BlackCat.webp
blackpanther,BlackPanther,Black Panther,<b>On Reveal:</b> Double this card's Power.,"[""On Reveal"", ""Increase Power"", ""Double Power""]",5,4,,Pool 3 (Collection Level 486-?),189,[],#5010b0,#7932ff,#7418ff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.527396037836873,0.2864536855256113,0.02024790840134027,0.020019808118304363,0.022304686049534,0.020893792930663718,0.03363369656328583,0.02013946299557888,2955.0,2648.0,9611.0,8006.0,126.0,0.5526001195457262,0.4205020920502092,https://static.marvelsnap.pro/cards/BlackPanther.webp
blackwidow,BlackWidow,Black Widow,<b>On Reveal:</b> Add a Widow's Bite to your opponent's hand.,"[""On Reveal"", ""Add Card to Hand"", ""Add Card""]",2,1,Assassins,Pool 3 (Collection Level 486-?),169,"[""WidowsBite""]",#440404,#ff0009,#55eeff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4911894273127753,-0.034691629955947136,0.0122241179654792,0.0139715277200251,0.011455200326760982,0.013210639497254524,-0.002640402347024309,0.013054886596455914,1784.0,1848.0,4936.0,5062.0,162.0,0.4874336283185841,-0.07256637168141593,https://static.marvelsnap.pro/cards/BlackWidow.webp
blade,Blade,Blade,<b>On Reveal:</b> Discard the rightmost card from your hand.,"[""On Reveal"", ""Discard""]",1,3,Vampires,Pool 1 (Collection Level 18-214),463,[],#682800,#010101,#ff0000,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,19.18.3,0.4955512572533849,-0.04887169568020632,0.0263325590478344,0.0295760911475856,0.02584150235787754,0.030048854834332006,-0.007942162615255658,0.027874627080263108,3843.0,3912.0,11135.0,11514.0,100.0,0.5033489618218352,-0.02545210984594776,https://static.marvelsnap.pro/cards/Blade.webp
bluemarvel,BlueMarvel,Blue Marvel,<b>Ongoing:</b> Your other cards have +1 Power.,"[""Ongoing"", ""Increase Power""]",5,3,Ultimates,Recruit Season,885,[],#3b5bff,#dad7e9,#5562ff,Recruit,"[{""Data"": ""Recruit"", ""StartDate"": -62135596800}]",,,0.534009789924536,0.2264939832755456,0.07176187637469937,0.06909404319984275,0.07443559466785489,0.07211307597553082,0.09308466051969824,0.0704935120951799,10473.0,9139.0,32074.0,27632.0,28.0,0.553615520282187,0.33827160493827163,https://static.marvelsnap.pro/cards/BlueMarvel.webp
brood,Brood,Brood,<b>On Reveal:</b> Add 2 Broodlings to this location with the same Power.,"[""On Reveal"", ""Add Card At Location"", ""Add Card""]",3,2,Cosmic Beings,Pool 3 (Collection Level 486-?),376,"[""Broodling""]",#ff4b3d,#ff653d,#88ff72,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5626570119698537,0.3606472587557264,0.05217862012731172,0.044749714596768714,0.053056886116371466,0.04692621667327808,0.10228415758591786,0.04864670572589051,7615.0,5919.0,22862.0,17981.0,55.0,0.5766596657839467,0.44781298511551454,https://static.marvelsnap.pro/cards/Brood.webp
buckybarnes,BuckyBarnes,Bucky Barnes,"When this is destroyed, replace it with the Winter Soldier.","[""Destroy"", ""Add Card At Location"", ""Add Card""]",2,1,Assassins,Pool 2 (Collection Level 222-486),460,"[""WinterSoldier""]",#ffffff,#ff312f,#ff3f3f,Series2,"[{""Data"": ""Series2"", ""StartDate"": -62135596800}]",,,0.5135107153949684,0.07795838078476032,0.033986336944381634,0.03552608698939283,0.03628485759904943,0.038838549387226765,0.01577954735959765,0.03471837820351533,4960.0,4699.0,15635.0,14882.0,86.0,0.513298878104122,0.09113828312113954,https://static.marvelsnap.pro/cards/BuckyBarnes.webp
cable,Cable,Cable,<b>On Reveal:</b> Draw the top card of your opponent's deck.,"[""On Reveal"", ""Add Card to Hand"", ""Add Card""]",2,2,X-Force,Pool 1 (Collection Level 18-214),575,[],#fffdfd,#568eff,#ffff00,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,18.17.3,0.4938562283864322,-0.060407622691487015,0.04599118821989708,0.05200765107470382,0.0465727228844083,0.05451541850220264,-0.01720452640402347,0.048851586930735776,6712.0,6879.0,20068.0,20889.0,54.0,0.4838583063487391,-0.11382592483563927,https://static.marvelsnap.pro/cards/Cable.webp
captainamerica,CaptainAmerica,Captain America,<b>Ongoing:</b> Your other cards at this location have +1 Power.,"[""Ongoing"", ""Increase Power""]",3,3,Avengers,Pool 1 (Collection Level 18-214),381,[],#4d7aff,#ff0000,#ffffff,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5007846214201648,0.02098862298940761,0.017493370608670625,0.01924109201702591,0.019547640265864617,0.021702820635947973,0.002242246437552389,0.01832428740879192,2553.0,2545.0,8423.0,8316.0,135.0,0.4985738733599544,0.02082144894466629,https://static.marvelsnap.pro/cards/CaptainAmerica.webp
captainmarvel,CaptainMarvel,Captain Marvel,"At the end of the game, move to a location that wins you the game. (If possible)","[""Move""]",4,4,Ultimates,Pool 3 (Collection Level 486-?),178,[],#ff2020,#ffd350,#003dff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,August 31st OTA,0.5093155123531794,0.02025111381125962,0.017232991414338667,0.018318729256288326,0.016867179087297166,0.018706808359604987,0.002095557418273261,0.01774918227238417,2515.0,2423.0,7268.0,7168.0,137.0,0.5182083029861617,0.1412964311726147,https://static.marvelsnap.pro/cards/CaptainMarvel.webp
carnage,Carnage,Carnage,<b>On Reveal:</b> Destroy your other cards here. +2 Power for each destroyed.,"[""On Reveal"", ""Destroy"", ""Power On Destroy"", ""Increase Power"", ""Merge""]",2,2,Spider-Villains,Pool 1 (Collection Level 18-214),891,[],#ff1a1a,#000000,#ff1212,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5117805271651426,0.10252824098977943,0.06519072775984816,0.06861774111847825,0.06848752367160521,0.07204261227216736,0.03994132439228835,0.0668200280363754,9514.0,9076.0,29511.0,27605.0,33.0,0.5269718461207823,0.19012823268142415,https://static.marvelsnap.pro/cards/Carnage.webp
cerebro,Cerebro,Cerebro,<b>Ongoing:</b> Your highest-Power cards have +2 Power.,"[""Ongoing"", ""Increase Power""]",3,0,Robots,Pool 3 (Collection Level 486-?),285,[],#eefaff,#5eafff,#39a5ff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.49389035667107,0.017007926023778073,0.02049458342754949,0.02317247427590743,0.020793880657977798,0.02311470447000856,0.0021584241408214586,0.02176772941303332,2991.0,3065.0,8960.0,8857.0,120.0,0.5186894323950162,0.19727734194739271,https://static.marvelsnap.pro/cards/Cerebro.webp
cloak,Cloak,Cloak,"<b>On Reveal:</b> Next turn, both players can move cards to this location.","[""On Reveal"", ""Move""]",2,4,Shadows &amp; Light,Pool 2 (Collection Level 222-486),220,[],#0000c0,#1e72ea,#39a5ff,Series2,"[{""Data"": ""Series2"", ""StartDate"": -62135596800}]",,,0.5238752415125586,0.13828319072591774,0.01300525554847507,0.013041604608789665,0.013395343656009804,0.013756080756623587,0.010498742665549036,0.01302253693253298,1898.0,1725.0,5772.0,5271.0,163.0,0.5424055512721665,0.2397841171935235,https://static.marvelsnap.pro/cards/Cloak.webp
colleenwing,ColleenWing,Colleen Wing,<b>On Reveal:</b> Discard the lowest-cost card from your hand.,"[""On Reveal"", ""Discard""]",2,4,Fighters,Pool 3 (Collection Level 486-?),185,[],#eefaff,#ff3227,#fffbe5,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5094019989835676,-0.000677621548365238,0.02060421677253137,0.02189477504177094,0.019494263116854184,0.02193248011357705,-8.382229673093043e-05,0.02121778512634341,3007.0,2896.0,8400.0,8404.0,121.0,0.5159934625262667,0.046462759747840296,https://static.marvelsnap.pro/cards/ColleenWing.webp
colossus,Colossus,Colossus,"<b>Ongoing:</b> Can't be destroyed, moved, or have its Power reduced.","[""Ongoing"", ""Destroy"", ""Move""]",2,3,Classic X-Men,Recruit Season,313,[],#baedff,#ff0500,#fdff39,Recruit,"[{""Data"": ""Recruit"", ""StartDate"": -62135596800}]",,,0.5149517306333883,0.16270308453025664,0.01498550784221021,0.015574322025569106,0.016632783780773087,0.016900849740067232,0.014480301760268231,0.0152654469645232,2187.0,2060.0,7167.0,6476.0,148.0,0.5118699186991871,0.1404878048780488,https://static.marvelsnap.pro/cards/Colossus.webp
cosmo,Cosmo,Cosmo,<b>Ongoing:</b> <b>On Reveal</b> abilities won't happen at this location.,"[""On Reveal"", ""Ongoing"", ""Disable Ability""]",3,3,Guardians Vol. 2,Pool 1 (Collection Level 18-214),1237,[],#fffefe,#be6a05,#39fff0,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5140748224860374,0.06847969464791895,0.1255096237520642,0.13089990851975894,0.12594454346292375,0.13526160302315385,0.05113160100586756,0.12807231947090328,18317.0,17314.0,54269.0,51829.0,11.0,0.5151351107502142,0.08002887174628953,https://static.marvelsnap.pro/cards/Cosmo.webp
crossbones,Crossbones,Crossbones,You can only play this at locations where you are winning.,[],4,8,HYDRA,Pool 3 (Collection Level 486-?),68,[],#ced8db,#dedede,#ffbb91,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5209018318459371,0.06528886801315173,0.007598961224056296,0.007711557507806063,0.0072059151164086,0.007740568302816459,0.0029128248113998324,0.0076524927213256185,1109.0,1020.0,3105.0,2966.0,192.0,0.5777777777777777,0.4239316239316239,https://static.marvelsnap.pro/cards/Crossbones.webp
crystal,Crystal,Crystal,<b>On Reveal:</b> Each player draws a card.,"[""On Reveal"", ""Card Draw"", ""Shuffle""]",3,3,Inhumans,Pool 3 (Collection Level 486-?),136,[],#ffa200,#000000,#ff5700,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,August 17th OTA,0.4661365505895256,0.06114614751850836,0.011648542904324351,0.014720002419312159,0.013316438305298729,0.014392863853686034,0.0046730930427493714,0.013108802702994141,1700.0,1947.0,5738.0,5515.0,161.0,0.4818067754077792,0.1890422417398578,https://static.marvelsnap.pro/cards/Crystal.webp
cyclops,Cyclops,Cyclops,"<i>""Let's move, X-Men.""</i>",[],3,4,Original X-Men,Starter Card,729,[],#525aff,#fafc49,#ff1e2b,Starter,"[{""Data"": ""Starter"", ""StartDate"": -62135596800}]",,,0.5657422408589854,0.3551574065249849,0.12202876504888965,0.10334999130559692,0.12146086294604733,0.10741017182704554,0.2342833193629505,0.11314834118112214,17809.0,13670.0,52337.0,41157.0,13.0,0.5638911469825417,0.3443657337514032,https://static.marvelsnap.pro/cards/Cyclops.webp
dagger,Dagger,Dagger,"When this moves to a location, +2 Power for each card your opponent has there.","[""Move"", ""Power On Card Count"", ""Increase Power""]",2,2,Shadows &amp; Light,Pool 3 (Collection Level 486-?),65,[],#ffffff,#fdff49,#eaff5a,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4888663967611336,-0.0465587044534413,0.003309556601640389,0.003817977001413785,0.0033557981508298986,0.003893772052529386,-0.0009639564124057,0.003551274217317853,483.0,505.0,1446.0,1492.0,216.0,0.5115273775216138,0.09077809798270893,https://static.marvelsnap.pro/cards/Dagger.webp
daken,Daken,Daken,<b>On Reveal:</b> Add the Muramasa Shard to your hand.,,3,4,,Pool 5 (Series 5),143,"[""MuramasaShard""]",#ff2020,#f6f6f6,#8699ff,Series5,"[{""Data"": ""SeasonPass"", ""StartDate"": 1691463600}, {""Data"": ""Series5"", ""StartDate"": 1693882800}]",,,0.5260439087387,0.09664227292294447,0.016746493445981597,0.016647891796263675,0.016247540009654303,0.01709919201620143,0.009409052808046941,0.016699615398440032,2444.0,2202.0,7001.0,6552.0,141.0,0.5260430869920917,0.06926643032451596,https://static.marvelsnap.pro/cards/Daken.webp
daredevil,Daredevil,Daredevil,"On turn 5, you get to see your opponent's plays before you make your own.",[],2,2,Defenders,Pool 3 (Collection Level 486-?),397,[],#ff0306,#ff0300,#ff000f,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4988994243142567,0.07339993227226549,0.040379331373637285,0.044749714596768714,0.040276540046786234,0.04302983485395745,0.01816848281642917,0.042457136695302114,5893.0,5919.0,17355.0,16488.0,67.0,0.4903597460616036,0.01857512344227604,https://static.marvelsnap.pro/cards/Daredevil.webp
darkhawk,Darkhawk,Darkhawk,<b>Ongoing:</b> +2 Power for each card in your opponent's deck.,[],4,0,,Pool 4 (Series 4),251,[],#3f72ff,#42b3ff,#ff78d2,Series4,"[{""Data"": ""Series4"", ""StartDate"": -62135596800}]",,,0.5191453353078063,0.0985826105352232,0.016815014286595268,0.017184676681610958,0.01632180386914708,0.017138338518070024,0.009765297569153395,0.01699076237374645,2454.0,2273.0,7033.0,6567.0,140.0,0.5366685616827743,0.19584991472427515,https://static.marvelsnap.pro/cards/Darkhawk.webp
dazzler,Dazzler,Dazzler,<b>Ongoing:</b> +2 Power for each location that's full on your side.,"[""Ongoing"", ""Power On Card Count"", ""Increase Power""]",3,2,,Pool 3 (Collection Level 486-?),91,[],#969bff,#ffcd49,#1e94ff,Series3,"[{""Data"": ""Series4"", ""StartDate"": -62135596800}, {""Data"": ""Series3"", ""StartDate"": 1684206000}]",,,0.4735945485519591,-0.15332197614991486,0.0057146381071802995,0.007008444911506097,0.006122126916935873,0.007589201828924567,-0.005658005029337804,0.0063297509075877926,834.0,927.0,2638.0,2908.0,200.0,0.4640792733278282,-0.18827415359207267,https://static.marvelsnap.pro/cards/Dazzler.webp
deadpool,Deadpool,Deadpool,"When this is destroyed, return it to your hand with double the Power.","[""Destroy"", ""Return To Hand"", ""Power On Destroy"", ""Increase Power""]",1,1,Weapon X,Pool 3 (Collection Level 486-?),231,[],#ff3f47,#000000,#fff6f7,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5163002274450341,0.049532474096537785,0.027997615474746645,0.02894102170576628,0.02898611265827485,0.031572958640415885,0.008214585079631182,0.02844613780956831,4086.0,3828.0,12490.0,12098.0,99.0,0.5183519512548963,0.09125199477731033,https://static.marvelsnap.pro/cards/Deadpool.webp
