,cardid,carddefid,name,description,abilities,cost,power,category,source,use_count,connected_cards,PrimaryColor,SecondaryColor,RingColor,CardSeriesDefId,SeriesStartDates,wasAddedIn,wasChangedIn,stats_winrate,stats_cuberate,share_win,share_loss,share_cube_won,share_cube_lost,share_cube_earned,share_total,stats_win,stats_loss,stats_cube_won,stats_cube_lost,stats_position,stats_winrate_played,stats_cuberate_played,art_base
30,captainmarvel,CaptainMarvel,Captain Marvel,"At the end of the game, move to a location that wins you the game. (If possible)","[""Move""]",4,4,Ultimates,Pool 3 (Collection Level 486-?),178,[],#ff2020,#ffd350,#003dff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,August 31st OTA,0.5093155123531794,0.0202511138112596,0.0172329914143386,0.0183187292562883,0.0168671790872971,0.0187068083596049,0.0020955574182732,0.0177491822723841,2515.0,2423.0,7268.0,7168.0,137.0,0.5182083029861617,0.1412964311726147,https://static.marvelsnap.pro/cards/CaptainMarvel.webp
31,carnage,Carnage,Carnage,On Reveal: Destroy your other cards here. +2 Power for each destroyed.,"[""On Reveal"", ""Destroy"", ""Power On Destroy"", ""Increase Power"", ""Merge""]",2,2,Spider-Villains,Pool 1 (Collection Level 18-214),891,[],#ff1a1a,#000000,#ff1212,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5117805271651426,0.1025282409897794,0.0651907277598481,0.0686177411184782,0.0684875236716052,0.0720426122721673,0.0399413243922883,0.0668200280363754,9514.0,9076.0,29511.0,27605.0,33.0,0.5269718461207823,0.1901282326814241,https://static.marvelsnap.pro/cards/Carnage.webp
32,cerebro,Cerebro,Cerebro,Ongoing: Your highest-Power cards have +2 Power.,"[""Ongoing"", ""Increase Power""]",3,0,Robots,Pool 3 (Collection Level 486-?),285,[],#eefaff,#5eafff,#39a5ff,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.49389035667107,0.017007926023778,0.0204945834275494,0.0231724742759074,0.0207938806579777,0.0231147044700085,0.0021584241408214,0.0217677294130333,2991.0,3065.0,8960.0,8857.0,120.0,0.5186894323950162,0.1972773419473927,https://static.marvelsnap.pro/cards/Cerebro.webp
33,cloak,Cloak,Cloak,"On Reveal: Next turn, both players can move cards to this location.","[""On Reveal"", ""Move""]",2,4,Shadows &amp; Light,Pool 2 (Collection Level 222-486),220,[],#0000c0,#1e72ea,#39a5ff,Series2,"[{""Data"": ""Series2"", ""StartDate"": -62135596800}]",,,0.5238752415125586,0.1382831907259177,0.013005255548475,0.0130416046087896,0.0133953436560098,0.0137560807566235,0.010498742665549,0.0130225369325329,1898.0,1725.0,5772.0,5271.0,163.0,0.5424055512721665,0.2397841171935235,https://static.marvelsnap.pro/cards/Cloak.webp
34,colleenwing,ColleenWing,Colleen Wing,On Reveal: Discard the lowest-cost card from your hand.,"[""On Reveal"", ""Discard""]",2,4,Fighters,Pool 3 (Collection Level 486-?),185,[],#eefaff,#ff3227,#fffbe5,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5094019989835676,-0.0006776215483652,0.0206042167725313,0.0218947750417709,0.0194942631168541,0.021932480113577,-8.382229673093043e-05,0.0212177851263434,3007.0,2896.0,8400.0,8404.0,121.0,0.5159934625262667,0.0464627597478402,https://static.marvelsnap.pro/cards/ColleenWing.webp
35,colossus,Colossus,Colossus,"Ongoing: Can't be destroyed, moved, or have its Power reduced.","[""Ongoing"", ""Destroy"", ""Move""]",2,3,Classic X-Men,Recruit Season,313,[],#baedff,#ff0500,#fdff39,Recruit,"[{""Data"": ""Recruit"", ""StartDate"": -62135596800}]",,,0.5149517306333883,0.1627030845302566,0.0149855078422102,0.0155743220255691,0.016632783780773,0.0169008497400672,0.0144803017602682,0.0152654469645232,2187.0,2060.0,7167.0,6476.0,148.0,0.5118699186991871,0.1404878048780488,https://static.marvelsnap.pro/cards/Colossus.webp
36,cosmo,Cosmo,Cosmo,Ongoing: On Reveal abilities won't happen at this location.,"[""On Reveal"", ""Ongoing"", ""Disable Ability""]",3,3,Guardians Vol. 2,Pool 1 (Collection Level 18-214),1237,[],#fffefe,#be6a05,#39fff0,Series1,"[{""Data"": ""Series1"", ""StartDate"": -62135596800}]",,,0.5140748224860374,0.0684796946479189,0.1255096237520642,0.1308999085197589,0.1259445434629237,0.1352616030231538,0.0511316010058675,0.1280723194709032,18317.0,17314.0,54269.0,51829.0,11.0,0.5151351107502142,0.0800288717462895,https://static.marvelsnap.pro/cards/Cosmo.webp
37,crossbones,Crossbones,Crossbones,You can only play this at locations where you are winning.,[],4,8,HYDRA,Pool 3 (Collection Level 486-?),68,[],#ced8db,#dedede,#ffbb91,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5209018318459371,0.0652888680131517,0.0075989612240562,0.007711557507806,0.0072059151164086,0.0077405683028164,0.0029128248113998,0.0076524927213256,1109.0,1020.0,3105.0,2966.0,192.0,0.5777777777777777,0.4239316239316239,https://static.marvelsnap.pro/cards/Crossbones.webp
38,crystal,Crystal,Crystal,On Reveal: Each player draws a card.,"[""On Reveal"", ""Card Draw"", ""Shuffle""]",3,3,Inhumans,Pool 3 (Collection Level 486-?),136,[],#ffa200,#000000,#ff5700,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,August 17th OTA,0.4661365505895256,0.0611461475185083,0.0116485429043243,0.0147200024193121,0.0133164383052987,0.014392863853686,0.0046730930427493,0.0131088027029941,1700.0,1947.0,5738.0,5515.0,161.0,0.4818067754077792,0.1890422417398578,https://static.marvelsnap.pro/cards/Crystal.webp
39,cyclops,Cyclops,Cyclops,"Let's move, X-Men.",[],3,4,Original X-Men,Starter Card,729,[],#525aff,#fafc49,#ff1e2b,Starter,"[{""Data"": ""Starter"", ""StartDate"": -62135596800}]",,,0.5657422408589854,0.3551574065249849,0.1220287650488896,0.1033499913055969,0.1214608629460473,0.1074101718270455,0.2342833193629505,0.1131483411811221,17809.0,13670.0,52337.0,41157.0,13.0,0.5638911469825417,0.3443657337514032,https://static.marvelsnap.pro/cards/Cyclops.webp
40,dagger,Dagger,Dagger,"When this moves to a location, +2 Power for each card your opponent has there.","[""Move"", ""Power On Card Count"", ""Increase Power""]",2,2,Shadows &amp; Light,Pool 3 (Collection Level 486-?),65,[],#ffffff,#fdff49,#eaff5a,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4888663967611336,-0.0465587044534413,0.0033095566016403,0.0038179770014137,0.0033557981508298,0.0038937720525293,-0.0009639564124057,0.0035512742173178,483.0,505.0,1446.0,1492.0,216.0,0.5115273775216138,0.0907780979827089,https://static.marvelsnap.pro/cards/Dagger.webp
41,daken,Daken,Daken,On Reveal: Add the Muramasa Shard to your hand.,,3,4,,Pool 5 (Series 5),143,"[""MuramasaShard""]",#ff2020,#f6f6f6,#8699ff,Series5,"[{""Data"": ""SeasonPass"", ""StartDate"": 1691463600}, {""Data"": ""Series5"", ""StartDate"": 1693882800}]",,,0.5260439087387,0.0966422729229444,0.0167464934459815,0.0166478917962636,0.0162475400096543,0.0170991920162014,0.0094090528080469,0.01669961539844,2444.0,2202.0,7001.0,6552.0,141.0,0.5260430869920917,0.0692664303245159,https://static.marvelsnap.pro/cards/Daken.webp
42,daredevil,Daredevil,Daredevil,"On turn 5, you get to see your opponent's plays before you make your own.",[],2,2,Defenders,Pool 3 (Collection Level 486-?),397,[],#ff0306,#ff0300,#ff000f,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.4988994243142567,0.0733999322722654,0.0403793313736372,0.0447497145967687,0.0402765400467862,0.0430298348539574,0.0181684828164291,0.0424571366953021,5893.0,5919.0,17355.0,16488.0,67.0,0.4903597460616036,0.018575123442276,https://static.marvelsnap.pro/cards/Daredevil.webp
43,darkhawk,Darkhawk,Darkhawk,Ongoing: +2 Power for each card in your opponent's deck.,[],4,0,,Pool 4 (Series 4),251,[],#3f72ff,#42b3ff,#ff78d2,Series4,"[{""Data"": ""Series4"", ""StartDate"": -62135596800}]",,,0.5191453353078063,0.0985826105352232,0.0168150142865952,0.0171846766816109,0.016321803869147,0.01713833851807,0.0097652975691533,0.0169907623737464,2454.0,2273.0,7033.0,6567.0,140.0,0.5366685616827743,0.1958499147242751,https://static.marvelsnap.pro/cards/Darkhawk.webp
44,dazzler,Dazzler,Dazzler,Ongoing: +2 Power for each location that's full on your side.,"[""Ongoing"", ""Power On Card Count"", ""Increase Power""]",3,2,,Pool 3 (Collection Level 486-?),91,[],#969bff,#ffcd49,#1e94ff,Series3,"[{""Data"": ""Series4"", ""StartDate"": -62135596800}, {""Data"": ""Series3"", ""StartDate"": 1684206000}]",,,0.4735945485519591,-0.1533219761499148,0.0057146381071802,0.007008444911506,0.0061221269169358,0.0075892018289245,-0.0056580050293378,0.0063297509075877,834.0,927.0,2638.0,2908.0,200.0,0.4640792733278282,-0.1882741535920726,https://static.marvelsnap.pro/cards/Dazzler.webp
45,deadpool,Deadpool,Deadpool,"When this is destroyed, return it to your hand with double the Power.","[""Destroy"", ""Return To Hand"", ""Power On Destroy"", ""Increase Power""]",1,1,Weapon X,Pool 3 (Collection Level 486-?),231,[],#ff3f47,#000000,#fff6f7,Series3,"[{""Data"": ""Series3"", ""StartDate"": -62135596800}]",,,0.5163002274450341,0.0495324740965377,0.0279976154747466,0.0289410217057662,0.0289861126582748,0.0315729586404158,0.0082145850796311,0.0284461378095683,4086.0,3828.0,12490.0,12098.0,99.0,0.5183519512548963,0.0912519947773103,https://static.marvelsnap.pro/cards/Deadpool.webp
